quartos,m2_quadrado,garagem,banheiros,direto com o proprietario,preço,cidade,bairro,link
3,156,2,4,1,R$ 180.000,Natal, Alecrim,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-garagem-em-otima-localizacao-1375623379
2,300,2,1,1,R$ 150.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-2quartos-1375579339
2,126,1,2,0,R$ 200.000,Natal, Nova Descoberta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/nova-descoberta-ah-14-1360025752
3,146,1,2,0,R$ 170.000,Natal, Lagoa Nova,https://rn.olx.com.br/rio-grande-do-norte/imoveis/lagoa-nova-ah17-1360037790
2,360,4,1,0,R$ 230.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/oferta-casa-2-4-c-quintal-grande-360m2-no-pitimbu-1375511523
4,230,2,4,0,R$ 285.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/oferta-casa-4-4-ponto-comercial-na-melhor-localizacao-de-neopolis-1375498607
5,203,2,5,0,R$ 289.990,Natal, Rocas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/oferta-maravilhosa-casa-duplex-localizacao-privilegiada-rocas-1375498238
4,252,1,5,1,R$ 268.580,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-4-suites-a-5-minutos-do-shopping-midway-1375412755
3,70,1,2,0,R$ 287.000,Natal, Alecrim,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-se-casa-duplex-no-cond-dom-eugenio-bairro-bom-pasto-valor-287mil-reais-1148410822
2,80,2,2,1,R$ 240.000,Natal, Tirol,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-buzios-condominio-fechado-com-piscina-1375324223
2,110,1,1,0,R$ 185.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vende-se-casa-no-planalto-em-condominio-fechado-1375281891
4,300,1,4,0,R$ 210.000,Natal, Cidade Alta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-4-4-no-centro-da-cidade-1375231029
4,216,3,3,1,R$ 300.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-soledade-2-1375204489
5,NULL,1,5,1,R$ 170.000,Natal, Quintas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/predio-com-tres-casas-a-venda-170-mil-reais-1375174801
3,180,NULL,1,0,R$ 253.900,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-da-esperanca-1241696314
3,180,1,1,0,R$ 229.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-da-esperanca-proxima-ao-super-facil-atacado-1358925012
