quartos,m2_quadrado,garagem,banheiros,direto com o proprietario,preço,cidade,bairro,link
2,NULL,2,2,1,R$ 180.000,Natal, Redinha,https://rn.olx.com.br/rio-grande-do-norte/imoveis/excelente-casa-com-area-gourmet-e-linda-vista-1371852503
1,NULL,NULL,1,1,R$ 200.000,Natal, Igapó,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-condominio-com-4-casas-na-vila-paraiso-1371785207
3,300,2,2,0,R$ 220.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-capim-macio-brt08-1371690658
4,280,2,3,1,R$ 180.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-no-potengi-1371679115
3,133,2,2,0,R$ 280.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/candelaria-ah43-1371669577
4,130,1,4,0,R$ 210.000,Natal, Nordeste,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-residencial-em-natal-rn-bairro-nordeste-1371666541
3,200,2,1,0,R$ 290.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-no-bairro-neopolis-conjunto-pirangi-1371660719
3,200,2,2,0,R$ 160.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-ponta-negra-brt07-1371657059
5,NULL,1,5,1,R$ 200.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-com-quatro-kitnets-1371655950
3,NULL,NULL,2,0,R$ 150.000,Natal, Nova Descoberta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-nova-descoberta-a-venda-cod-olx103-1355808262
4,200,2,2,1,R$ 180.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-grande-10-20-sendo-2-duas-casas-como-mostra-as-fotos-1371616253
3,NULL,2,2,0,R$ 160.000,Natal, Barro Vermelho,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-barro-vermelho-a-venda-cod-olx102-1355804176
2,112,NULL,1,1,R$ 200.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-esse-predio-no-planalto-1371589674
3,NULL,2,2,0,R$ 170.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-cod-olx111-1355832967
2,154,2,2,0,R$ 280.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-capim-macio-re400-1371576042
2,94,2,2,1,R$ 150.000,Natal, Igapó,https://rn.olx.com.br/rio-grande-do-norte/imoveis/so-venda-1371547323
3,200,3,2,0,R$ 220.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/oferta-casa-3-4-suite-200m-no-pitimbu-xh00xq-1371546478
2,NULL,NULL,2,1,R$ 280.000,Natal, Lagoa Azul,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-terreno-620m-ao-lado-do-sup-bom-dia-lagoa-azul-1371509571
3,200,2,2,1,R$ 180.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-vendas-1371495260
2,99,2,1,1,R$ 150.000,Natal, Barro Vermelho,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-otima-localizacao-1371487555
2,87,1,1,0,R$ 250.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-duplex-no-condominio-village-de-ponta-negra-1326991744
3,152,1,1,0,R$ 240.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/a-casa-que-voce-procurava-para-morar-conjunto-pajucara-1371341170
4,140,1,3,0,R$ 185.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/agende-sua-visita-e-conheca-seu-novo-lar-no-conjunto-pajucara-1371341158
3,NULL,1,3,1,R$ 180.000,Natal, Felipe Camarão,https://rn.olx.com.br/rio-grande-do-norte/imoveis/imovel-com-ponto-comercial-e-2-kitnet-em-felipe-camarao-1371293056
3,190,2,2,0,R$ 170.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-ponta-negra-cod-rnf-11-1371215185
3,NULL,NULL,1,1,R$ 280.000,Natal, Igapó,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-no-igapo-1371208425
2,110,2,1,0,R$ 150.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-s30-1319131948
2,140,2,1,0,R$ 180.000,Natal, Nova Descoberta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-nova-descoberta-s22-1319123866
